,type,homo,index,RF,nrBS,right_gt
0,tree,False,1,0.0733333333333333,0.427855836538342,80
1,tree,True,1,0.02333333333333333,0.3745269051014597,93
2,tree,False,2,0.04999999999999999,0.43902867062820783,87
3,tree,True,2,0.04,0.3745980738462565,88
4,tree,False,3,0.059999999999999984,0.43082158245218155,84
5,tree,True,3,0.04999999999999999,0.36873685443795423,85
6,tree,False,4,0.03666666666666667,0.425044619857714,91
7,tree,True,4,0.03666666666666667,0.3684094320781254,89
8,tree,False,5,0.06666666666666665,0.4258971956669327,83
9,tree,True,5,0.03,0.3690436193077967,91
10,tree,False,6,0.05333333333333333,0.42989536197252776,86
11,tree,True,6,0.03666666666666667,0.3732832253769874,89
12,tree,False,7,0.05333333333333333,0.4217309990642991,87
13,tree,True,7,0.04333333333333333,0.37689638917377266,87
14,tree,False,8,0.06999999999999998,0.44369040883719135,83
15,tree,True,8,0.03666666666666667,0.37114659316251897,89
16,tree,False,9,0.06333333333333331,0.42530658044462494,84
17,tree,True,9,0.03666666666666667,0.370792096518639,89
18,tree,False,10,0.07666666666666665,0.4414502104230239,80
19,tree,True,10,0.04999999999999999,0.37833014423041794,85
